[00:00:00 - 00:01:00] | О. Хархордин | Спасибо. Сразу на все три вопроса отвечать?
[00:11:00 - 00:12:00] | И. Фрумин | Спасибо. Я хочу привести один пример, потому что недавно была дискуссия. Российские участники меня поймут. Можно ли отказаться в университетах от зачетных книжек в бумажной форме? Был аргумент, почему нельзя этого сделать: потому что неизвестно, сохранится зачетка в электронной форме или нет. А в бумажной форме уж точно: мы их складируем, и они 70 лет будут храниться. Кто-то сказал, что он себе представляет дискуссию в древнем Вавилоне, когда говорят: «Вот давайте перейдем на папирус». А народ говорит: «Нет, глиняные таблички: папирус сгорит, сгниет, а они будут лежать». Это хороший пример хорошего консерватизма. Коллеги, наш следующий выступающий понял, что мы немного нарушили принцип, когда я сказал, что мы пригласили только первых лиц, потому что следующий выступающий пока не является самым первым лицом своего университета. Если не ошибаюсь, профессор Рафаэль Райф станет им только второго июля, right? July 2nd you will get the office? Только второго июля он станет выполнять функцию президента Массачусетского института технологии, но до этого профессор был провостом этого университета, что трудно: фактически ректором при наличии президента. Надо сказать, что биография профессора Райфа является интересным примером биографии американского профессора и университетского лидера. Его первая степень — не из американского университета, а из Венесуэлы, но дальше профессор Райф заполучил свои другие академические степени в Стэнфордском университете, а потом связал свою судьбу с Массачусетским институтом технологии и недавно был избран новым президентом этого института. Профессор Райф, когда Вы будете отвечать на этот вопрос, интересно услышать не только о том, как MIT удерживает лидерство, но и как Вы собираетесь его дальше удерживать.
[00:12:00 - 00:13:00] | Р. Райф | Прежде всего позвольте мне поблагодарить вас за то, что пригласили меня участвовать в этом заседании, несмотря на то, что я еще не президент. Я очень коротко отвечу на вопросы, которые вы задали. С моей точки зрения, ключ к успеху в академических учреждениях вроде Массачусетского технологического института состоит в создании обстановки, ориентированной на открытия и инновации. Могу уточнить, как именно мы этого достигаем. Остальные три вопроса гораздо важнее. Откуда мы знаем, что мы лидеры? Это очень важный вопрос, и из ответа на него следуют весьма масштабные выводы. Мы живем в обстановке сильнейшей конкуренции и конкурируем друг с другом за талантливые кадры. Любое академическое учреждение вроде Массачусетского технологического института добивается успеха только когда располагает самыми яркими и трудолюбивыми талантами. Мы конкурируем за то, чтобы привлечь и студентов, и выпускников-магистрантов. Ежегодно, заполняя образующиеся вакансии, мы нанимаем около 30 новых преподавателей, и за них тоже идет очень серьезная конкуренция. Каждый раз, когда мы решаем принять кого-то в Массачусетский технологический — будь то студент или преподаватель — мы конкурируем с целым рядом сильных учебных заведений, которые тоже хотят их заполучить. Обычно — а может быть, и всегда — побеждаем мы. Для меня это ― показатель, что дела у нас идут очень хорошо. Я могу снабдить вас цифрами, однако они не вызывают во мне беспокойства, пока мы не перестали побеждать в состязании за таланты. От души надеюсь, что пока я буду на посту президента, этого не произойдет. Еще один вопрос, который вы затронули — перемены в обществе. Интересно, что в формулировку миссии Массачусетского технологического института входят слова «Служение обществу». Если обладаешь культурой открытий и инноваций, хочется с ее помощью менять мир и улучшать жизнь в обществе. И это для нас очень важно. Последний вопрос — относительно лидеров и последователей — несколько озадачил меня. Если ты лидер, почему за тобой или следуют, или нет? Сложившаяся в США обстановка конкуренции заставляет меня смотреть на это с другой стороны. Если бы мы затеяли что-то новое, а за нами никто не последовал бы, то я бы забеспокоился. Это означало бы, что наше начинание недостаточно удачно. В общем и целом, когда мы что-то начинаем, другие университеты следуют за нами и конкурируют с нами. Для меня это― м ерило успеха. Если мы что-то делаем, но последователей нет, то я понимаю: что-то не так. Взаимодействие в академическом мире стало куда динамичнее — в основном благодаря обстановке сильнейшей конкуренции, в которой мы живем.
[00:13:00 - 00:14:00] | И. Фрумин | Большое спасибо. Я получил смс, что я представил два других университета, но не представил Массачусетский технологический институт, но я думаю, что вы мне простите. Следующего выступающего мы будем сегодня просить выступить в разных ипостасях. Я бы попросил Дмитрия Викторовича Ливанова сейчас высказаться как ректора — возмутителя спокойствия, потому что, когда успешный заместитель министра образования и науки ушел ректором в Московский институт стали и сплавов, то для многих это было непонятно. Но когда появился указ президента о том, что надо реализовать пилотный проект по созданию исследовательского университета на базе МИСиС, то замыслы Дмитрия Викторовича прояснились. За время своего лидерства в этом университете он существенно его динамизировал. Поэтому к Вам сейчас, как к совсем недавнему ректору, лидеру университета, те же самые вопросы, Дмитрий Викторович.
[00:14:00 - 00:15:00] | Д. Ливанов | Мне кажется, что, поскольку конкуренция за людей усиливается буквально с каждым годом, то мы чувствуем, что сейчас нет не только границ между странами, но и в принципе никаких барьеров для общения, для перемещения людей. Снижаются и социальные барьеры, и экономические и так далее, и вопрос конкурентоспособности становится самым важным. Здесь я абсолютно согласен с Рафаэлем, что те университеты, которые привлекут лучших людей в качестве преподавателей, в качестве студентов, в качестве управленцев и администраторов, — они и будут лидерами. Все мои действия, когда я был ректором, были связаны именно с этим видением и с этим пониманием. Я жалею только об одном: о том, что иногда я действовал не так активно и не так резко, был связан определенными стереотипами. Думаю, что можно было сделать гораздо больше, если бы я вовремя понял, что на самом деле эти стереотипы сильно замедляют движение.
[00:15:00 - 00:16:00] | И. Фрумин | Спасибо Дмитрию Викторовичу. Коллеги, я думаю, что вы уже хотите задавать вопросы, но думайте пока, записывайте, потому что палитра дальше расширяется, и у нас есть два следующих спикера. Они оба — ректоры- основатели, только один это сделал 20 лет назад, а второй — меньше года назад. Поэтому сначала мы послушаем человека, который в 35 лет начал создавать с нуля Высшую школу экономики. Здесь не так много людей, которые помнят 1993 год: это был не самый лучший и не самый «сытный» год в истории Российской Федерации. Такая странная идея, и при этом получилось, что она стала лидером. Ярослав Иванович Кузьминов, ректор. Коротко скажите, пожалуйста, о том, как, исходя из вашей истории, звучат ответы на те вопросы, которые были поставлены.
[00:16:00 - 00:17:00] | Я. Кузьминов | Все мы тут в роли одной из героинь романа Куприна «Яма», которую клиент спрашивает: «Как ты дошла до жизни такой?» — после самых волнительных моментов близости, но, если вы помните, девушки всегда врали. Я думал, что есть четыре условия, которые можно более или менее обобщить, потому что у каждого из нас есть масса субъективных моментов нашей истории. Первое — это, конечно, исследования. Университет тем и отличается от других уровней образования, что в нем преподают ученые. Как ни странно, эту простую истину университеты и их руководители в разных странах регулярно несколько подзабывают. В конечном счете, ориентация с самого начала — на то, чтобы университет был образован сильными исследователями. Это первое условие, условие непременное. Это не значит, что университет не может реализовывать программы дополнительного образования, программы, не ориентированные на поиск вовлечения в науку новых людей, но это экстерналия от этой деятельности, потому что наоборот не бывает. Второе: нужно привлечь самых сильных. Это значит — ориентироваться на сильных студентов, ориентироваться на самых сильных преподавателей, и это должно быть бескомпромиссной позицией. Как только ты начинаешь идти на компромиссы в качестве — по причинам удобства, для расширения масштабов, которые необходимы, а они часто необходимы, — то проигрываешь. Я думаю, что все собравшиеся здесь университеты довольно однозначно ориентируются на поиск лучших и не боятся от чего-то отказаться в этом поиске, потерять что-то в этом поиске. А привлечение самых сильных преподавателей — это автоматическая ориентация на тех людей, которые включены в глобальный рынок. Третье: нужно правильно определить, где университет конкурирует. Любая конкуренция — это очень дорогое мероприятие. С кем конкурирует университет? На рынке труда мы с самого начала — я подчеркиваю, с самого начала — конкурировали с бизнесом, мы не конкурировали с другими университетами. И примерно через 10—12 лет нашего существования мы собрали достаточно даже не денежных, а кадровых ресурсов, чтобы начать конкурировать с другими международными университетами. Как ни странно, конкурировать с российским бизнесом, что, по финансовым соображениям, примерно то же самое, что с международными университетами, проще, потому что сильных людей с глобального рынка ты привлекаешь не столько деньгами, сколько средой. Я думаю, что примерно через 12 лет своего существования мы сформировали среду, привлекательную для интересных иностранцев. Последнее: в университете должно быть хорошо. Это очень существенная вещь. Многие знают: мы любим повторять, что университет — это пространство свободы для каждого человека, который туда попадает, но эта свобода всегда должна иметь совершенно конкретное выражение, то есть свобода — это ощущение, что тебе хорошо. И реализация этого принципа не работает в отрыве от первых трех, которые я перечислил, потому как — что такое хорошо для слабого студента? Это место, где к нему не пристают. И для многих из нас — для многих, по крайней мере, российских людей и не только российских — университетские годы это замечательное время, когда ты играл в футбол, когда ты бродил по улицам. Время от времени ты собирался перед тем, как сдать сессию. Как сделать хорошо в месте, где студент должен напрягаться 14—16 часов в сутки: это challenge. И те, кто преодолевает этот challenge, делают хороший университет.
[00:17:00 - 00:18:00] | И. Фрумин | Спасибо, Ярослав Иванович. Можно порекомендовать: каждый ректор должен просыпаться утром и спрашивать себя: «Что ты сделал, чтобы у тебя в университете было хорошо?» Этот же вопрос мы можем адресовать человеку, который только создает университет. Я хочу подчеркнуть, что профессор Эдвард Кроули, бывший декан факультета аэронавтики и чего-то такого космического из MIT, был приглашен в Россию в качестве президента- основателя Сколковского института технологии как раз с этой задачей — с задачей сразу сделать университет-лидер. В этом смысле интересно послушать, как Вы, Эд, планируете это сделать. Но прежде, чем Эд начнет говорить, я не могу удержаться, чтобы не сказать, что профессор Кроули является также почетным профессором Московского авиационного института, где он стажировался, а вообще с десяти лет Эд мечтал о том, как русские и американцы будут вместе осваивать космическое пространство, а сейчас они вместе создают один из лучших российских университетов.
[00:18:00 - 00:19:00] | Э. Кроули | Мне кажется, что ответ на первый вопрос: «Каков секрет успеха лучших исследовательских университетов?» — очень прост. Они проводят самые лучшие исследования. Значит, теперь надо сформулировать определение самого лучшего исследования. У меня есть на этот счет весьма твердое убеждение, состоящее в том, что здесь задействованы оба конца спектра. Сначала надо сделать то, что мой коллега Рафаэль назвал «открытием». Главный стимул подобных исследований — желание открыть нечто новое и изучить новые фундаментальные идеи; в Великобритании такие исследования называют «blue sky research» — «исследованиями безоблачного неба». А другой конец спектра — то, что университет придает этим знаниям практическую ценность, берет их и применяет к решению новых задач и оказывает влияние на коммерциализацию, на общественные проблемы или на правительство — в зависимости от той области, где сделано открытие. Так вот, как раз этого мы и не делаем. Во многих исследовательских университетах ведется изучение не «безоблачного неба», а, я бы сказал, «пасмурного». Подробно изучаются идеи, с которыми мы уже знакомы, и при этом не делается никаких движений в сторону практического применения или влияния на реальную жизнь. Преподавателям очень легко встать на накатанную колею и специализироваться на дальнейшей разработке уже существующих знаний. Одна из самых трудных задач для исследователя — понять, когда настает пора переключиться на другую тему и взять на себя ответственность за смену поля деятельности. Мой ответ на второй вопрос: «Как университет может добиться устойчивого конкурентного преимущества?» — заключается в том, что для этого следует создать обстановку, когда человек не просто способен переключиться на новую задачу с области, в которой, как он теперь понимает, все уже в основном исследовано, взять на себя ответственность за то, что он перестанет быть специалистом, и основать новую школу научной мысли. Нужно создать такую обстановку, где подобное всячески поощряется. Я думаю, что создание такой атмосферы и культуры в университете — одно из принципиальных условий стабильного лидерства в университетской среде. Нет, я не то чтобы не согласен со всеми своими коллегами. Речь идет о человеческом факторе, о том, чтобы создавать хорошие университеты с правильной атмосферой, привлекать лучшие таланты. Однако я думаю, что именно это и помогает привлечь лучшие таланты. Был задан и еще один вопрос: «Как объективно оценивать университеты?» Не уверен, что вообще можно объективно оценить университет, однако субъективные оценки делать можно, причем очень строгие. Позвольте привести пример страны, где это делается, в общем, приемлемо: я говорю о Великобритании. Там есть внутренняя государственная система оценки исследовательской деятельности университетов по пятибалльной шкале с точки зрения факультетов и программ. Этого оказалось недостаточно, и была создана «пятизвездочная» система оценок: высшая оценка — пять звезд. Потом возникло желание взглянуть на пятизвездочные программы с международной точки зрения. Мне кажется, что обращение к зарубежным коллегам — основа строгой субъективной оценки. Рафаэль об этом упоминал. Он смотрит по сторонам и видит, кто следует за каждым шагом Массачусетского технологического института. Нам надо постоянно экзаменовать самих себя, смотреть на коллег, как в зеркало, сравнивать себя с другими великими университетами по всему миру. Когда мы делали это в Великобритании в 2006 году, то собрали группу преподавателей — светил науки и технологии — и объехали все пятизвездочные программы. С первых же минут становилось понятно, какие из них действительно очень сильны, какие еще сильнее, а какие — самые сильные среди пятизвездочных программ. Мне представляется, что надо создать систему международной экспертной оценки, чтобы выдающиеся ученые из других университетов регулярно приезжали в наши учреждения, инспектировали их и искренне высказывали свое мнение о том, что и как можно улучшить.
[00:19:00 - 00:20:00] | И. Фрумин | Спасибо за весьма практичный ответ. То есть за совет — мы его, пожалуй, учтем. Коллеги, мне очень приятно представить ректора университета, о котором, возможно, не очень многие в этой аудитории слышали, потому что мы часто знаем, что происходит в далеких странах, но не у наших соседей. Профессор Илкка Пёюхёнен, ректор Лаппеенрантского университета. Когда я спрашивал у заместителя министра образования Финляндии, какой университет он может порекомендовать как очень динамичный, лидирующий, то он мне сказал: «Ты знаешь, конечно, Университет Хельсинки замечательный, с огромными традициями, но есть университет недалеко от российской границы, и туда ездят смотреть, что там происходит, потому что там происходят интересные и быстрые, особенно для Финляндии, вещи. Профессор Пёюхёнен, профессор mechanical engineering — не знаю, как это сказать по-русски — возглавляет этот университет в качестве первого лица четыре года, а до этого он был проректором. Я попрошу его коротко ответить на те же вопросы, на которые отвечали другие. Пожалуйста.
[00:20:00 - 00:21:00] | И. Пёюхённ | Большое спасибо за то, что предоставили мне возможность побывать на этом Форуме. Первый вопрос состоял в том, каковы ключи к успеху. Один из главных ключей к успеху, по сути дела — в том, чтобы принимать завтрашние решения уже сегодня. Частенько случается, что мы слишком долго выжидаем и осматриваемся, но если мы не примем решения быстро, кто-нибудь решит все за нас — и какова тогда будет наша роль? Особенно это важно для нас, сотрудников небольшого университета. Естественно, всего не изменишь. Нужно обладать собственной историей и понимать, что это очень крепкая опора, и в то же время обязательно следить за происходящим в мире и видеть, какие сферы для тебя важны. В правильном сочетании этих двух подходов и состоит ключ к успеху. Разумеется, всего не сделаешь. Надо выбирать. Наш выбор — ограничиться всего тремя стратегическими областями. Раньше у нас их было много, однако мы двинулись в совершенно ином направлении, и теперь у нас осталось только три. Одна из них, само собой, привела нас сюда, и в этой области для нас очень важна Россия. Мы много сотрудничаем с российскими университетами в сфере образования и исследований, а также использования инфраструктуры. Таков наш образ действий. Всего у нас в университете девять международных магистерских программ. Около 25% студентов, которые на них учатся, приехали из зарубежных стран, и около 10% наших студентов — из России. Это прекрасные студенты, и такое положение дел нам очень нравится. Остальные две сферы — это технология и бизнес. Теперь у нас, помимо всех прочих финских университетов, есть Университет Аалто — очень большой, и все наши университеты следуют одним и тем же курсом. Однако чтобы завоевать хорошие позиции в будущем, нам надо действовать чуточку быстрее. Мы добились не только того, чтобы наладить эти международные магистерские программы и принять столько иностранных студентов (в этом нам сейчас принадлежит рекорд среди финских университетов), но и того, что у нас проводятся некоторые исследования. Было проведено исследование, в котором участвовали 200 университетов из разных стран: оно было посвящено анализу того, что думают иностранные студенты о принимающих их университетах, и по результату этого исследования мы заняли первое место в списке из 200 университетов по всему миру. Нам это очень приятно. Естественно, исследования для университетов очень важны. Они связаны с тремя сферами. Мы провели оценку исследований. На международном уровне сферы бизнеса и энергетические сектора оказались у нас на особенно высоких позициях, и мы этому очень рады. Я уверен, что в этих областях мы можем планировать сотрудничество с другими странами и другими университетами. Этим мы также занимаемся и здесь, в России. По сути дела, если бы пришлось в двух словах определить, что для нас важно, это были бы слова CO2 и HO2. Мы над этим работаем, и в Финляндии в этих областях мы лидеры. Наша доля в этой сфере составляет примерно 40% от работы всех финских университетов. Конечно, в то же время мы придаем большое значение и образованию, а в сфере технологии мы были первыми, кто получил аккредитацию в скандинавских странах, и другие университеты теперь следуют нашему примеру. Что касается бизнеса, то мы уже пять лет обладаем аккредитацией EPAS. Если я правильно понимаю, в мире существует всего 15 таких университетов. Вот чего нам удалось добиться.
[00:21:00 - 00:22:00] | И. Фрумин | Это производит сильное впечатление. Хочу еще раз обратить внимание, что практически все наши коллеги говорят о выделении приоритетов, о концентрации, о талантах. Думаю, что вы сами можете сделать другие обобщения и, может быть, еще сделаете. Заключает нашу панель Андрей: я специально хотел, чтобы он говорил последним, потому что он сам был модератором на нескольких сессиях и понимает, как это трудно, удерживать все это во времени, поэтому он будет говорить коротко. Но мне важно сказать, что Андрей Волков тоже является ректором-основателем — Московской школы управления «Сколково». Кроме того, как, я бы сказал, образовательный философ, он является радикалом. Может быть, Андрей, Вы нам скажете, что все эти исследовательские университеты, которые здесь говорили, — это все вчерашний день? Пожалуйста.
[00:22:00 - 00:23:00] | А. Волков | Исак, Вы же модератор, но не провокатор. Я буду краток. Хочу начать с последнего вопроса: почему мы не видим массового движения всех в инновационное счастливое «далёко». Наоборот, мы часто говорим про систему, что — скучно, консервативно, ничего не меняется. Это не только я говорю, но и журналисты, и образовательные политики. Очень простой ответ: страшно, дорого и долго. Страшно, потому что университет — это такая социальная система, это же не станки. И для ректора удержать баланс интересов — это особое искусство, иначе его быстро снесут уважаемый профессорско-преподавательский состав, вынесут. И тем, кто наблюдает за образовательным ландшафтом, известно очень много таких примеров. Дорого: я думаю, что сейчас невозможно начать ни один образовательный проект, не имея за душой 50—100 миллионов долларов. Это будет просто авантюра. И долго: минимальная стартаповская фаза в образовании, по моим эмпирическим оценкам, — минимум десять лет. Через десять лет можно первый раз посмотреть, получается у вас что-то или нет. А так — 20—30 лет. В современной истории столько времени ушло на становление таких отличных новых школ, как INSEAD, London Business School, IMD в Лозанне. Я говорю про свою сферу, про бизнес-образование. Это очень длительные проекты. Я не говорю про столетние, двухсотлетние проекты университетов. Так почему нет массового движения? Страшно, дорого и долго. И не очень много сумасшедших людей готовы сделать commitment на десять лет. Два момента про лидеров. Первое: я считаю, что в современном мире и для университетов очень важно позиционироваться. Об этом говорил Ярослав Кузьминов. Нельзя быть всеядным, надо решить, в чем ты хорош, и выставлять себя на мировую арену в чем-то особенном. Сказать, что я просто даю хорошее фундаментальное образование — этот ответ уже не годится для современного мира, с моей точки зрения. Например, в нашей школе мы ответили себе так: мы специализируемся на БРИК — странах с непонятной, быстро развивающейся экономикой, с непредсказуемыми условиями: кто-то называет это кумовским капитализмом. И мы специализируемся на людях, которые будут что-то менять, трансформировать, это предпринимательское образование. Мы не готовим, например, менеджеров для функционирования в корпорациях, это не наша сфера. Мы потратили несколько лет на то, чтобы договориться о таких простых вещах. Я считаю, что это вызов, который стоит перед многими образовательными учреждениями в современном мире. Второе, что еще более принципиально: мне кажется, заново встает вопрос о повестке: чему учить и как учить. Пятьдесят лет назад мы говорили «фундаментальное образование», и все дружно кивали головой — понятно, о чем вы говорите: математика, физика, всë фундаментально. Сейчас этот ответ не очевиден. Что такое новая фундаментальность? Что за люди нужны в современном мире? Предыдущая сессия была попыткой ответить на этот вопрос. Я считаю, мой рабочий ответ на этот вопрос состоит в том, что нужно больше не нарезать на предметные кусочки: 16 биологий, 18 математик, 38 физик, — а попытаться собрать это все в какую-то конструкцию, что называется holistic approach, систематический подход. Это очень сложно и очень дорого, но я думаю, что в этом поиске, в этом мейнстриме и лежит ответ про будущее образования. Конечно, я согласен со своими коллегами, что — особенно для России это интересно — нас не спросили, а отправили на глобальный рынок конкурировать за людей. Мне кажется, большинство моих коллег- университетов всë еще думают, что они конкурируют внутри Петербурга или внутри Российской Федерации. Нет, мы уже конкурируем на мировом рынке за лучших студентов, за лучших людей. И чем быстрее мы это осознаем, тем быстрее мы оздоровимся: я имею в виду систему профессионального образования Российской Федерации. Спасибо.
